,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple-root-program,
7,apple_rules_lint,Starlark
8,ARKitScenes,Python
9,AudioUnit-Examples,Swift
10,AudioUnitSDK,C++
11,axlearn,Python
12,batch-processing-gateway,Java
13,ccs-caldavclientlibrary,HTML
14,ccs-caldavtester,Python
15,ccs-calendarserver,Python
16,ccs-pycalendar,Python
17,ccs-pykerberos,C
18,ccs-pyopendirectory,C++
19,ccs-pyosxframeworks,Python
20,ccs-pysecuretransport,Python
21,ccs-twistedextensions,Python
22,container,Swift
23,container-builder-shim,Go
24,containerization,Swift
25,coremltools,Python
26,corenet,Jupyter Notebook
27,cups,C
28,darwin-libplatform,C
29,darwin-libpthread,C
30,darwin-xnu,C
31,device-management,
32,dmel,Python
33,dmel-demo,HTML
34,dnikit,Python
35,eidas,Go
36,embedding-atlas,TypeScript
37,example-package-fisheryates,Swift
38,FHIRModels,Swift
39,foundationdb,C++
40,fstools,C
41,game-center-tools,Python
42,GCGC,Jupyter Notebook
43,highlightjs-pkl,JavaScript
44,homebrew-apple,Ruby
45,HomeKitADK,C
46,learning-compressible-subspaces,Python
47,learning-subspaces,Python
48,llvm-monorepo-root,
49,llvm-project-v5,C++
50,llvm-project-v5-split,C++
51,mapkit-loader,TypeScript
52,ml-4m,Python
53,ml-acn-embed,Python
54,ml-act,Python
55,ml-ademamix,Python
56,ml-afv,Python
57,ml-agent-evaluator,Jupyter Notebook
58,ml-agm,Python
59,ml-aim,Python
60,ml-all-pairs,Python
61,ml-ane-transformers,Python
62,ml-aspanformer,Python
63,ml-aspera,Python
64,ml-atoken,Jupyter Notebook
65,ml-aura,Python
66,ml-autofocusformer,Python
67,ml-autofocusformer-segmentation,Python
68,ml-batchquant,Python
69,ml-behavioral-testing-for-mt,
70,ml-bilevel-train-dist,Python
71,ml-bloop,Python
72,ml-calibration,Jupyter Notebook
73,ml-capsules-inverted-attention-routing,Python
74,ml-cifar-10-faster,Python
75,ml-clara,Python
76,ml-code-switched-speech-translation,Python
77,ml-codeswitching-translations,
78,ml-collegial-ensembles,Python
79,ml-comotion,Python
80,ml-compress-and-compare,Python
81,ml-constructive-circuit-amplification,Python
82,ml-core,Python
83,ml-covid-mobility,R
84,ml-cread,Python
85,ml-cross-entropy,Python
86,ml-cubifyanything,Python
87,ml-cvnets,Python
88,ml-cvpr2019-swd,Python
89,ml-dab,Python
90,ml-data-parameters,Python
91,ml-dataset-decomposition,Python
92,ml-delphi,
93,ml-depth-pro,Python
94,ml-destseg,Python
95,ml-diffucoder,Python
96,ml-diffusion-alignment-gflownet,Python
97,ml-direct2.5,Python
98,ml-divide-or-conquer,Python
99,ml-dms-dataset,Python
100,ml-dprecs,Jupyter Notebook
101,ml-dr,Python
102,ml-duet,Python
103,ml-egodex,Python
104,ml-encqa,Python
105,ml-entity-deduction-arena,Python
106,ml-entropy-reconstruction,Python
107,ml-envmapnet,Python
108,ml-epicache,Python
109,ml-equivariant-neural-rendering,Jupyter Notebook
110,ml-facelit,Python
111,ml-famae,Python
112,ml-fastvit,Python
113,ml-fastvlm,Python
114,ml-fct,Python
115,ml-ferret,Python
116,ml-finerecon,Python
117,ml-flair,Jupyter Notebook
118,ml-flextok,Jupyter Notebook
119,ml-fs-dfm,Python
120,ml-gaudi,
121,ml-gbc,Python
122,ml-genctrl,Python
123,ml-gendered-translation,Ruby
124,ml-gie-bench,Python
125,ml-gmpi,Python
126,ml-gsm-symbolic,
127,ml-gsn,Python
128,ml-hd-gist,Python
129,ml-heart-rate-models,Python
130,ml-hierarchical-confusion-matrix,TypeScript
131,ml-hilbert,Python
132,ml-hugs,Python
133,ml-hypercloning,Python
134,ml-hypersim,Python
135,ml-icr2,Python
136,ml-inrflow,Python
137,ml-interactive-data-augmentation,Svelte
138,ml-internal-llms-instruction-following,Python
139,ml-interspeech2022-phi_rtn,
140,ml-isqoe,Python
141,ml-jointnet,Python
142,ml-key-retrieval-code-tasks,Python
143,ml-keyframer,JavaScript
144,ml-kg-mt,Python
145,ml-kge,Python
146,ml-knowledge-conflicts,Python
147,ml-kpconvx,Python
148,ml-l3m,Python
149,ml-lineas,Python
150,ml-lito,
151,ml-live-pose,
152,ml-llarp,Python
153,ml-loop,Python
154,ml-lucid-datagen,Python
155,ml-macereason-math,
156,ml-mad-bench,Jupyter Notebook
157,ml-matrix3d,Python
158,ml-mcf,Python
159,ml-mcp-repo-level-coding,Python
160,ml-mdm,Python
161,ml-mebp,Swift
162,ml-mgie,Python
163,ml-mia-bench,Jupyter Notebook
164,ml-MixupMP,Python
165,ml-mkqa,Python
166,ml-mobileclip,Python
167,ml-mobileclip-dr,Python
168,ml-mobileone,Swift
169,ml-mofi,Python
170,ml-multilingual-reasoning-gym,Python
171,ml-multiple-futures-prediction,Python
172,ml-mycelium,JavaScript
173,ml-ncg,Python
174,ml-negative-sampling,Python
175,ml-neilf,Python
176,ml-neilfpp,Python
177,ml-neuman,Python
178,ml-no-token-left-behind,Jupyter Notebook
179,ml-np-rasp,Python
180,ml-nvas3d,Python
181,ml-ogen,Python
182,ml-omni-router-moe-asr,Python
183,ml-over-searching,
184,ml-pararnn,Python
185,ml-persona-red-teaming,Python
186,ml-pfl4asr,Python
